iter	Passed	Remaining
0	49	48977
1	50	25020
2	52	17293
3	53	13327
4	54	10850
5	54	9095
6	55	7861
7	56	6948
8	56	6262
9	57	5711
10	58	5301
11	60	4946
12	60	4631
13	61	4350
14	62	4110
15	63	3922
16	64	3738
17	65	3568
18	66	3424
19	67	3290
20	67	3168
21	68	3060
22	69	2968
23	70	2886
24	71	2793
25	72	2707
26	73	2635
27	73	2561
28	74	2498
29	75	2451
30	77	2408
31	78	2368
32	79	2327
33	80	2286
34	81	2249
35	82	2199
36	82	2155
37	84	2149
38	85	2104
39	85	2062
40	86	2024
41	87	1988
42	87	1955
43	88	1923
44	89	1889
45	89	1856
46	89	1824
47	90	1793
48	90	1764
49	91	1739
50	92	1715
51	92	1690
52	93	1665
53	93	1643
54	94	1622
55	94	1600
56	95	1580
57	96	1560
58	96	1541
59	97	1521
60	97	1501
61	97	1482
62	98	1464
63	100	1470
64	102	1474
65	102	1457
66	103	1439
67	103	1420
68	104	1405
69	104	1392
70	105	1379
71	105	1365
72	106	1353
73	107	1342
74	107	1330
75	108	1319
76	109	1307
77	109	1295
78	110	1282
79	110	1271
80	110	1259
81	111	1247
82	111	1236
83	112	1225
84	112	1213
85	113	1204
86	113	1193
87	116	1207
88	117	1198
89	117	1189
90	118	1180
91	118	1171
92	119	1166
93	120	1158
94	120	1150
95	121	1142
96	123	1153
97	124	1144
98	124	1135
99	125	1126
100	125	1118
101	125	1107
102	126	1099
103	126	1091
104	127	1083
105	127	1075
106	129	1081
107	130	1077
108	131	1071
109	131	1064
110	132	1059
111	132	1052
112	133	1045
113	134	1043
114	134	1037
115	135	1030
116	135	1024
117	136	1019
118	137	1015
119	137	1009
120	138	1008
121	139	1002
122	139	994
123	139	987
124	140	982
125	140	976
126	141	970
127	141	963
128	141	957
129	142	951
130	142	947
131	143	942
132	145	946
133	145	941
134	146	936
135	146	930
136	147	927
137	147	921
138	147	916
139	148	911
140	149	910
141	150	907
142	150	904
143	151	900
144	151	896
145	152	892
146	153	892
147	154	887
148	154	882
149	155	878
150	155	874
151	155	869
152	156	864
153	156	860
154	157	856
155	157	853
156	158	849
157	159	850
158	160	847
159	160	843
160	161	839
161	161	835
162	162	832
163	162	829
164	163	827
165	164	824
166	165	823
167	165	820
168	166	816
169	166	813
170	167	810
171	168	810
172	168	806
173	169	803
174	169	799
175	170	795
176	170	792
177	170	788
178	171	785
179	171	781
180	171	777
181	172	773
182	172	771
183	174	773
184	174	770
185	175	767
186	175	764
187	176	761
188	176	758
189	177	756
190	177	752
191	178	749
192	179	748
193	179	746
194	180	743
195	180	741
196	181	738
197	183	745
198	184	742
199	184	739
200	185	736
201	185	733
202	186	730
203	186	727
204	186	724
205	187	721
206	187	718
207	189	720
208	189	718
209	190	715
210	190	713
211	191	710
212	191	708
213	192	705
214	192	703
215	193	703
216	194	701
217	195	699
218	195	697
219	196	695
220	196	693
221	197	693
222	198	692
223	199	689
224	199	687
225	199	684
226	200	682
227	200	679
228	201	677
229	201	675
230	202	672
231	202	670
232	203	668
233	203	666
234	204	664
235	205	664
236	205	662
237	206	660
238	206	657
239	207	655
240	207	653
241	207	651
242	208	648
243	210	651
244	211	650
245	211	649
246	212	647
247	213	648
248	214	648
249	215	647
250	216	647
251	217	646
252	219	649
253	221	649
254	221	647
255	222	645
256	224	650
257	225	649
258	228	652
259	228	650
260	230	651
261	230	650
262	231	649
263	232	648
264	233	647
265	234	646
266	234	644
267	236	646
268	237	645
269	237	643
270	239	644
271	240	644
272	242	644
273	243	645
274	244	644
275	245	643
276	246	642
277	246	641
278	247	639
279	248	638
280	249	638
281	250	637
282	250	634
283	252	636
284	252	634
285	253	632
286	253	630
287	254	628
288	257	634
289	259	635
290	261	636
291	261	634
292	262	633
293	262	631
294	264	631
295	265	630
296	265	629
297	266	628
298	267	627
299	268	627
300	269	625
301	270	624
302	271	624
303	271	622
304	272	620
305	272	618
306	273	616
307	273	614
308	273	612
309	274	610
310	274	608
311	275	606
312	277	608
313	277	607
314	278	605
315	278	603
316	279	601
317	279	599
318	280	598
319	281	597
320	282	597
321	283	596
322	284	595
323	284	593
324	285	592
325	285	590
326	286	589
327	286	587
328	287	585
329	287	583
330	287	581
331	288	580
332	288	578
333	289	576
334	289	574
335	289	572
336	290	571
337	290	569
338	291	568
339	291	566
340	292	565
341	292	563
342	293	561
343	293	560
344	294	558
345	294	557
346	295	555
347	295	554
348	298	556
349	298	554
350	299	553
351	299	551
352	300	550
353	300	548
354	301	547
355	301	545
356	301	543
357	302	542
358	302	540
359	303	538
360	303	537
361	303	535
362	304	534
363	304	532
364	305	530
365	305	529
366	307	530
367	308	529
368	308	527
369	309	526
370	309	525
371	310	523
372	310	522
373	311	520
374	313	522
375	314	521
376	314	520
377	315	518
378	315	517
379	316	516
380	316	514
381	317	513
382	317	511
383	318	510
384	318	509
385	319	507
386	319	506
387	319	504
388	320	503
389	320	501
390	321	500
391	321	499
392	322	498
393	322	496
394	323	495
395	323	494
396	324	492
397	324	491
398	325	490
399	326	489
400	326	488
401	327	486
402	327	485
403	328	484
404	328	482
405	329	482
406	330	481
407	330	479
408	330	478
409	331	476
410	331	475
411	332	474
412	332	472
413	333	471
414	333	470
415	333	468
416	334	467
417	334	465
418	335	464
419	335	463
420	336	462
421	336	461
422	337	459
423	337	458
424	338	457
425	338	456
426	339	454
427	339	454
428	340	453
429	341	452
430	341	450
431	341	449
432	342	448
433	342	446
434	343	445
435	343	444
436	344	443
437	344	442
438	345	440
439	345	439
440	345	438
441	346	437
442	346	435
443	347	434
444	347	433
445	347	432
446	348	430
447	348	429
448	350	430
449	350	428
450	351	427
451	351	426
452	352	425
453	352	424
454	353	423
455	353	422
456	354	421
457	355	420
458	355	419
459	356	418
460	356	416
461	356	415
462	358	415
463	358	414
464	359	413
465	359	411
466	359	410
467	360	409
468	360	408
469	361	407
470	361	406
471	361	404
472	362	403
473	362	402
474	364	402
475	364	401
476	365	400
477	365	399
478	366	398
479	366	397
480	367	396
481	367	395
482	368	394
483	369	394
484	370	392
485	370	391
486	370	390
487	371	389
488	371	388
489	372	387
490	372	386
491	373	385
492	373	384
493	374	383
494	374	382
495	374	380
496	375	379
497	375	378
498	376	377
499	376	376
500	377	375
501	378	375
502	379	374
503	379	373
504	380	372
505	380	371
506	381	370
507	381	369
508	382	368
509	382	367
510	383	366
511	384	366
512	384	365
513	385	364
514	385	363
515	386	362
516	386	361
517	387	360
518	387	359
519	388	358
520	388	357
521	388	356
522	389	355
523	389	353
524	390	352
525	390	351
526	390	350
527	391	349
528	394	351
529	395	350
530	395	349
531	396	348
532	396	347
533	396	346
534	397	345
535	398	345
536	399	344
537	399	343
538	400	342
539	400	341
540	401	340
541	402	339
542	402	338
543	402	337
544	403	336
545	403	335
546	403	334
547	404	333
548	404	332
549	405	331
550	405	330
551	408	331
552	408	330
553	409	329
554	409	328
555	410	327
556	410	326
557	411	325
558	411	324
559	412	324
560	413	323
561	413	322
562	414	321
563	414	320
564	415	319
565	415	318
566	416	318
567	417	317
568	417	316
569	418	315
570	418	314
571	418	313
572	419	312
573	419	311
574	420	310
575	420	309
576	421	308
577	423	309
578	424	308
579	424	307
580	425	306
581	425	305
582	425	304
583	426	303
584	428	303
585	429	303
586	429	302
587	429	301
588	430	300
589	431	300
590	432	299
591	433	298
592	434	298
593	435	297
594	436	296
595	438	297
596	439	296
597	440	296
598	441	295
599	441	294
600	442	293
601	445	294
602	445	293
603	446	292
604	446	291
605	447	290
606	447	289
607	449	289
608	449	288
609	450	288
610	451	287
611	452	286
612	453	286
613	454	285
614	455	284
615	456	284
616	457	283
617	458	283
618	459	282
619	459	281
620	460	280
621	460	280
622	461	279
623	462	278
624	462	277
625	463	276
626	463	275
627	463	274
628	464	273
629	464	273
630	465	272
631	465	271
632	467	271
633	468	270
634	468	269
635	469	268
636	469	267
637	470	266
638	470	265
639	473	266
640	473	265
641	474	264
642	474	263
643	476	263
644	477	262
645	477	261
646	478	261
647	479	260
648	480	259
649	481	259
650	482	258
651	483	258
652	484	257
653	485	256
654	486	256
655	486	255
656	487	254
657	487	253
658	489	253
659	489	252
660	490	251
661	490	250
662	491	249
663	491	248
664	492	247
665	492	247
666	493	246
667	493	245
668	495	244
669	496	244
670	496	243
671	497	242
672	498	241
673	498	241
674	499	240
675	499	239
676	500	238
677	500	237
678	501	237
679	502	236
680	503	235
681	504	235
682	505	234
683	505	233
684	506	233
685	507	232
686	508	231
687	509	231
688	510	230
689	510	229
690	511	228
691	511	227
692	512	226
693	513	226
694	514	225
695	514	224
696	515	223
697	515	223
698	516	222
699	516	221
700	517	220
701	517	219
702	518	218
703	518	218
704	518	217
705	519	216
706	519	215
707	520	214
708	520	213
709	522	213
710	522	212
711	523	211
712	523	210
713	524	210
714	525	209
715	525	208
716	525	207
717	526	206
718	526	205
719	527	205
720	527	204
721	528	203
722	528	202
723	529	201
724	529	201
725	530	200
726	530	199
727	531	198
728	531	197
729	532	196
730	532	196
731	533	195
732	533	194
733	533	193
734	534	192
735	535	191
736	535	191
737	536	190
738	537	189
739	539	189
740	539	188
741	540	187
742	540	187
743	541	186
744	542	185
745	543	184
746	543	184
747	544	183
748	545	182
749	546	182
750	547	181
751	548	181
752	550	180
753	551	179
754	552	179
755	553	178
756	553	177
757	554	177
758	555	176
759	555	175
760	556	174
761	556	173
762	556	172
763	557	172
764	557	171
765	558	170
766	558	169
767	558	168
768	559	168
769	561	167
770	561	166
771	562	166
772	563	165
773	566	165
774	566	164
775	567	163
776	568	163
777	568	162
778	569	161
779	569	160
780	569	159
781	570	159
782	571	158
783	572	157
784	572	156
785	574	156
786	574	155
787	575	154
788	575	153
789	576	153
790	576	152
791	577	151
792	577	150
793	577	149
794	578	149
795	578	148
796	579	147
797	579	146
798	580	145
799	580	145
800	581	144
801	581	143
802	582	142
803	583	142
804	584	141
805	584	140
806	585	140
807	586	139
808	587	138
809	588	137
810	588	137
811	588	136
812	590	135
813	592	135
814	593	134
815	593	133
816	594	133
817	595	132
818	597	131
819	597	131
820	599	130
821	600	130
822	601	129
823	602	128
824	603	127
825	604	127
826	605	126
827	605	125
828	606	125
829	608	124
830	609	123
831	610	123
832	611	122
833	612	121
834	613	121
835	615	120
836	616	119
837	617	119
838	617	118
839	618	117
840	619	117
841	620	116
842	621	115
843	622	115
844	623	114
845	624	113
846	625	113
847	627	112
848	628	111
849	628	110
850	629	110
851	629	109
852	630	108
853	631	107
854	632	107
855	633	106
856	634	105
857	635	105
858	636	104
859	636	103
860	638	103
861	639	102
862	640	101
863	641	100
864	642	100
865	643	99
866	644	98
867	645	98
868	646	97
869	647	96
870	648	96
871	649	95
872	650	94
873	651	93
874	652	93
875	653	92
876	654	91
877	655	91
878	656	90
879	657	89
880	658	88
881	658	88
882	659	87
883	659	86
884	660	85
885	661	85
886	663	84
887	663	83
888	663	82
889	664	82
890	664	81
891	666	80
892	666	79
893	667	79
894	668	78
895	668	77
896	669	76
897	669	76
898	670	75
899	672	74
900	673	73
901	673	73
902	674	72
903	675	71
904	675	70
905	676	70
906	676	69
907	677	68
908	677	67
909	678	67
910	678	66
911	678	65
912	679	64
913	679	63
914	680	63
915	680	62
916	681	61
917	683	61
918	683	60
919	684	59
920	684	58
921	685	57
922	685	57
923	685	56
924	688	55
925	688	55
926	689	54
927	690	53
928	690	52
929	691	52
930	691	51
931	691	50
932	692	49
933	692	48
934	693	48
935	693	47
936	693	46
937	694	45
938	694	45
939	696	44
940	697	43
941	697	42
942	698	42
943	698	41
944	699	40
945	700	39
946	700	39
947	701	38
948	701	37
949	701	36
950	702	36
951	702	35
952	703	34
953	703	33
954	703	33
955	704	32
956	705	31
957	705	30
958	706	30
959	706	29
960	707	28
961	707	27
962	708	27
963	708	26
964	709	25
965	709	24
966	710	24
967	710	23
968	710	22
969	711	22
970	711	21
971	712	20
972	712	19
973	713	19
974	713	18
975	714	17
976	715	16
977	716	16
978	717	15
979	717	14
980	717	13
981	718	13
982	720	12
983	720	11
984	721	10
985	721	10
