iter	Passed	Remaining
0	70	70662
1	71	35694
2	72	23962
3	72	18089
4	73	14564
5	73	12216
6	74	10542
7	74	9289
8	75	8311
9	78	7724
10	80	7202
11	83	6913
12	85	6467
13	86	6069
14	86	5703
15	87	5384
16	88	5129
17	89	4885
18	92	4783
19	93	4583
20	94	4397
21	94	4219
22	95	4055
23	95	3903
24	96	3764
25	97	3635
26	97	3516
27	98	3427
28	99	3326
29	100	3234
30	101	3160
31	101	3074
32	102	2994
33	108	3069
34	109	3008
35	110	2962
36	111	2901
37	114	2890
38	115	2841
39	116	2793
40	117	2749
41	119	2715
42	120	2675
43	124	2698
44	128	2724
45	130	2700
46	131	2664
47	133	2640
48	134	2613
49	138	2622
50	140	2617
51	145	2654
52	147	2632
53	148	2603
54	149	2574
55	158	2679
56	160	2654
57	161	2626
58	163	2608
59	165	2589
60	169	2612
61	172	2604
62	175	2605
63	177	2588
64	178	2566
65	179	2546
66	181	2529
67	183	2518
68	188	2538
69	189	2521
70	191	2500
71	192	2480
72	193	2458
73	195	2450
74	198	2443
75	199	2431
76	201	2420
77	202	2396
78	206	2407
79	207	2381
80	207	2357
81	208	2331
82	208	2303
83	209	2279
84	209	2256
85	211	2243
86	213	2239
87	218	2265
88	219	2249
89	221	2240
90	222	2220
91	222	2199
92	223	2178
93	223	2157
94	228	2177
95	231	2177
96	234	2178
97	234	2159
98	235	2139
99	236	2124
100	236	2105
101	237	2087
102	237	2068
103	238	2051
104	238	2033
105	240	2030
106	241	2013
107	243	2010
108	247	2019
109	248	2006
110	248	1991
111	249	1975
112	249	1959
113	250	1943
114	250	1928
115	251	1913
116	251	1897
117	252	1883
118	252	1869
119	253	1855
120	253	1841
121	254	1828
122	254	1815
123	255	1804
124	255	1791
125	256	1778
126	258	1779
127	259	1768
128	260	1759
129	261	1747
130	261	1735
131	262	1727
132	263	1715
133	263	1704
134	264	1693
135	264	1681
136	265	1670
137	265	1659
138	266	1648
139	266	1638
140	267	1627
141	267	1615
142	267	1605
143	268	1595
144	268	1585
145	269	1576
146	270	1567
147	270	1557
148	274	1565
149	274	1557
150	275	1549
151	276	1540
152	277	1533
153	277	1526
154	281	1534
155	283	1531
156	284	1529
157	285	1522
158	287	1521
159	288	1513
160	288	1504
161	289	1496
162	289	1488
163	290	1482
164	293	1486
165	295	1483
166	296	1478
167	297	1470
168	297	1462
169	299	1459
170	299	1454
171	300	1447
172	301	1440
173	302	1435
174	303	1429
175	303	1422
176	304	1415
177	307	1419
178	308	1412
179	308	1405
180	308	1398
181	309	1390
182	309	1383
183	310	1376
184	310	1370
185	311	1363
186	312	1357
187	312	1350
188	314	1351
189	315	1345
190	319	1352
191	319	1345
192	320	1339
193	320	1332
194	321	1326
195	321	1320
196	322	1313
197	322	1307
198	323	1301
199	323	1294
200	325	1292
201	325	1286
202	326	1281
203	327	1276
204	330	1282
205	331	1277
206	332	1272
207	333	1268
208	334	1266
209	336	1266
210	337	1261
211	339	1262
212	342	1266
213	344	1265
214	345	1261
215	347	1262
216	348	1257
217	352	1263
218	353	1259
219	353	1253
220	354	1248
221	354	1242
222	355	1237
223	356	1235
224	357	1230
225	357	1224
226	360	1226
227	361	1225
228	362	1220
229	363	1215
230	363	1211
231	365	1208
232	365	1203
233	366	1198
234	366	1193
235	367	1188
236	367	1183
237	368	1178
238	368	1174
239	369	1169
240	369	1164
241	370	1159
242	370	1154
243	371	1150
244	371	1146
245	372	1141
246	372	1136
247	373	1132
248	374	1128
249	375	1125
250	375	1121
251	376	1117
252	377	1114
253	379	1113
254	379	1109
255	380	1105
256	380	1101
257	381	1097
258	382	1092
259	382	1088
260	383	1084
261	383	1080
262	384	1076
263	384	1071
264	384	1067
265	386	1066
266	387	1062
267	387	1058
268	388	1055
269	389	1053
270	390	1049
271	390	1046
272	391	1043
273	392	1039
274	393	1036
275	394	1034
276	394	1030
277	395	1026
278	395	1023
279	396	1019
280	396	1015
281	397	1011
282	398	1008
283	398	1004
284	398	1000
285	399	997
286	401	996
287	401	993
288	402	989
289	402	985
290	403	982
291	406	986
292	407	982
293	407	979
294	408	976
295	409	974
296	410	971
297	410	967
298	411	964
299	411	961
300	412	957
301	412	954
302	413	952
303	414	948
304	415	947
305	416	944
306	416	941
307	417	937
308	418	936
309	420	935
310	421	934
311	422	931
312	423	928
313	424	926
314	424	923
315	425	920
316	425	917
317	426	914
318	426	911
319	427	907
320	427	904
321	428	901
322	428	898
323	429	895
324	429	892
325	431	891
326	431	888
327	432	885
328	432	882
329	433	879
330	433	877
331	434	874
332	435	872
333	436	870
334	437	867
335	442	874
336	443	872
337	443	869
338	444	866
339	445	863
340	445	861
341	446	858
342	447	856
343	457	872
344	459	871
345	459	868
346	460	866
347	460	863
348	462	863
349	463	860
350	470	870
351	471	867
352	471	864
353	472	861
354	472	858
355	473	855
356	473	852
357	473	849
358	474	847
359	474	844
360	475	842
361	476	839
362	478	838
363	478	836
364	483	840
365	483	838
366	484	835
367	486	834
368	487	832
369	488	831
370	488	828
371	489	825
372	489	823
373	490	820
374	490	817
375	491	815
376	492	814
377	493	811
378	493	809
379	494	806
380	497	807
381	501	810
382	501	807
383	502	805
384	502	802
385	503	800
386	503	797
387	503	794
388	504	792
389	504	789
390	505	787
391	505	784
392	506	782
393	506	779
394	507	777
395	507	774
396	508	772
397	509	769
398	509	767
399	510	766
400	511	764
401	512	761
402	512	759
403	514	759
404	515	757
405	516	755
406	516	753
407	517	750
408	517	748
409	518	746
410	518	743
411	519	741
412	519	738
413	520	736
414	520	734
415	521	731
416	521	729
417	522	727
418	523	725
419	525	726
420	527	726
421	528	724
422	531	725
423	532	723
424	533	721
425	533	718
426	534	716
427	534	714
428	534	712
429	535	709
430	535	707
431	536	705
432	536	703
433	537	700
434	537	698
435	538	697
436	539	695
437	540	693
438	545	696
439	546	695
440	546	693
441	547	690
442	547	688
443	548	686
444	548	684
445	549	682
446	550	680
447	553	682
448	560	688
449	561	686
450	563	685
451	563	683
452	564	681
453	564	679
454	565	677
455	565	675
456	566	672
457	566	670
458	567	669
459	568	667
460	569	665
461	569	663
462	573	664
463	577	666
464	579	666
465	580	665
466	580	662
467	581	660
468	583	660
469	583	658
470	584	656
471	586	656
472	588	656
473	589	654
474	590	652
475	597	658
476	598	656
477	598	654
478	602	655
479	603	653
480	609	657
481	610	655
482	611	654
483	613	653
484	613	651
485	616	651
486	618	651
487	619	649
488	620	648
489	621	646
490	623	646
491	623	644
492	624	642
493	625	640
494	625	638
495	626	636
496	627	634
497	628	633
498	631	634
499	634	634
500	634	632
501	635	630
502	638	630
503	639	629
504	640	627
505	642	627
506	643	625
507	644	623
508	645	622
509	646	621
510	647	619
511	648	617
512	651	618
513	653	617
514	654	616
515	656	615
516	656	613
517	658	613
518	660	612
519	661	610
520	662	609
521	662	607
522	663	605
523	664	603
524	668	604
525	669	603
526	670	601
527	671	600
528	673	599
529	674	598
530	675	596
531	675	594
532	676	592
533	676	590
534	681	592
535	683	591
536	684	590
537	685	588
538	686	587
539	686	585
540	687	583
541	687	581
542	688	579
543	693	580
544	694	579
545	696	578
546	698	578
547	699	576
548	700	575
549	701	574
550	704	574
551	705	572
552	708	572
553	709	570
554	710	569
555	717	572
556	718	571
557	721	571
558	722	570
559	723	568
560	723	566
561	724	564
562	724	562
563	727	562
564	727	560
565	728	558
566	729	556
567	729	554
568	730	553
569	730	551
570	731	549
571	731	547
572	732	545
573	733	544
574	733	542
575	734	540
576	734	538
577	736	537
578	737	536
579	738	534
580	738	532
581	739	530
582	739	529
583	740	527
584	742	526
585	742	524
586	743	523
587	743	521
588	744	519
589	744	517
590	745	515
591	745	514
592	747	513
593	748	511
594	749	509
595	753	510
596	754	509
597	754	507
598	755	505
599	756	504
600	756	502
601	757	500
602	758	499
603	759	498
604	760	496
605	762	495
606	763	494
607	764	492
608	765	491
609	766	489
610	767	488
611	769	487
612	770	486
613	770	484
614	771	482
615	772	481
616	772	479
617	773	478
618	774	476
619	781	479
620	782	477
621	784	476
622	785	475
623	786	473
624	788	473
625	789	471
626	791	470
627	792	469
628	794	468
629	795	467
630	796	466
631	798	464
632	798	463
633	799	461
634	802	461
635	803	459
636	804	458
637	805	457
638	806	455
639	807	453
640	810	453
641	811	452
642	813	451
643	813	449
644	814	448
645	814	446
646	818	446
647	819	445
648	820	443
649	821	442
650	821	440
651	823	439
652	823	437
653	826	437
654	826	435
655	827	433
656	827	432
657	828	430
658	828	428
659	831	428
660	832	426
661	833	425
662	834	424
663	835	422
664	835	420
665	838	420
666	839	418
667	841	418
668	843	417
669	843	415
670	845	414
671	846	413
672	846	411
673	847	409
674	850	409
675	851	407
676	853	407
677	853	405
678	854	403
679	854	402
680	859	402
681	861	401
682	862	400
683	862	398
684	863	396
685	863	395
686	864	393
